Title,Date,content
"2 dead, 1 injured in road accident"," Mar 7, 2022, 04:13 IST",Visakhapatnam: Two persons were killed while a third suffered injuries in a road accident after their vehicle hit a lorry from behind on NH-16 near Yelamanchali in Visakhapatnam district. Police said the victims are from Gopalapatnam village under Payakaraopeta mandal. The deceased are Y Appala Raju (20) and Ch Suribabu. J Sundaram was admitted to a hospital. TNN
"Madhya Pradesh: 3 killed, 28 injured as bus falls into gorge in Shahdol","Updated: Mar 7, 2022, 06:40 IST","BHOPAL: A 12-year-old girl was among three persons killed when a bus plunged into a 40-feet-deep ravine while negotiating a sharp turn in MPâ€™s Shahdol district late Saturday night. Five passengers were critically injured.The bus (CG09 JM 6758) was going to Lucknow from Kawardha in Chhattisgarh when it crashed in Singhpur, 13km from the district headquarters, just after midnight.â€œThe bus plunged off the road at an accident-prone dark spot. The turning is very difficult and a truck had overturned there a couple of months ago. The bus fell 40 ft,â€ Singhpur police station in-charge, Rameshwar Uike told TOI. There were 56 passengers on the bus. Police and villagers rescued the injured and took them to hospital, where three were declared dead on arrival and 28 are being treated. Police identified the dead as Nadir Khan, 26, a resident of Uttar Pradesh, Mahima Kashyap, 12, of Mungeli in Chhattisgarh and 55-year-old Paras Sahu of Kawardha.. .Advertisement"
Uttar Pradesh: 4 killed in Jaunpur road accident,"Updated: Mar 8, 2022, 08:36 IST","VARANASI: As many as four persons including a passer-by were killed while a labourer sustained injury when a tractor trolley carrying construction machine overturned on Khetasarai-Didarganj Road near Jamdaha village of Jaunpur district on Sunday evening. The injured person was admitted to the hospital for treatment.According to reports, the tractor trolley fell into a roadside ditch after running over a resident of Manikhurd, Tuntun alias Pradeep Prajapati, who was going somewhere on his bicycle.Three labourers, Chintelal and Harishchandra Gautam, both residents of Abbopur, and Shankar Bind, resident of Khalautipur, also came under the tractor trolley. All of them died on the spot. A labourer, Ram Shakal Bind, of Abbopur sustained injuries in the incident. SO Prakash Rai said that the injured person was admitted to the primary health centre at Sondhi. The bodies were sent for postmortem."
Two girls die after goods vehicle hits their scooter in Bhopal,"Updated: Mar 8, 2022, 06:23 IST","BHOPAL: Two 14-year-old schoolgirls, riding a scooter, were killed when a goods vehicle rammed into them at high speed at Anna Nagar in Govindpura locality on Monday afternoon.Victims Kirti Yadav and Riya Karede were class 9 students at a private school and were among a group of six girls headed for the birthday party of Kirti's elder sister, said police. Their exams had ended on Monday and they were out to celebrate in Kaliyasot.Investigating officer ASI Ram Sajivan Verma said the group was on six scooters, with Riya riding pillion with Kirti. Barely 50 metres from the traffic signal near Career College, a four-wheeled goods vehicle slammed into Kirti and Riya's scooter from behind, and sped on in an attempt to escape, said Verma.. .AdvertisementThe scooter and the two girls got trapped in the undercarriage and were dragged around 50 metres, said police. Neither of them was wearing a helmet.Kirti's sister Priti and the others, who were just behind them, could only watch in horror as the two girls were dragged down the road. They took the duo to hospital with the help of passersby but one of them had died on the spot and the other within minutes of being admitted.Govindpura police went to the spot and seized the loading vehicle, but the driver had fled. He was tracked down and detained.Riya's brother-in-law Ajay said she was the youngest of three sisters. Her father Kailash works with a private firm. Kirti's father Rajesh works in a factory in Mandideep. They were close friends and went to school together."
"Four, including 3-year-old girl, killed in road accident"," Mar 9, 2022, 04:16 IST","Coimbatore: Four people, including a three-year-old girl, were killed after a pickup truck rammed into two motorcycles at Putharachal near Palladam in Tirupur on Tuesday morning.The deceased were identified as K Murugan, 45, a native of Pappankulam in Tirunelveli district, his wife M Muthumari, 40, his daughter M Mahakavi, 3 and R Kumararesan, 26, a native of Itaiyapatty in Pudukottai district.Kumararesan was staying on Palanimalai Thevar Street at Irugur in Coimbatore with his wife K Anandhi, 25. On Tuesday morning, the couple was travelling to Viralimalai in Trichy district on a motorcycle. Murugan, a resident of Vadugapalayam near Palladam, was on the way to Dharapuram on his motorcycle. His wife and daughter were riding pillion.A pickup truck carrying vegetables, on the way to Palladam, hit the two wheelers at Putharachal around 5am. The truck overturned in the impact of the accident.Murugan, Muthumari, Mahakavi and Kumararesan were killed on the spot. Anandhi, who sustained injuries, was rushed to the Palladam Government Hospital.The Kamanaickenpalayam police sent the bodies to the Palladam Government Hospital for postmortem. The bodies were later handed over to the families of the deceased. Police have formed a team to nab the van driver."
"Mumbai: 2-year-old, senior citizen killed in separate accidents; 2 held"," Mar 9, 2022, 05:11 IST","MUMBAI: A two-year-old girl and a senior citizen were killed in separate road crashes involving heavy vehicles in the western suburbs. Police have made arrests in both cases.The toddler, Jiva Yadav, was playing outside her relative's house in Kandivli (E) when the crash occurred on March 6. Police said the victim's mother Puja, who is suffering from tuberculosis, had come down to her maternal family's home in Poisar with her two daughters-Jiva and Aaradhya, who is nine months old-to recuperate as her husband travels for work. Around noon, Jiva was playing outside the house when a tempo mowed her down. Her grandfather's brother, Ramganesh Yadav, who was selling bananas at his shop nearby witnessed the accident. Local residents rushed Jiva to Babasaheb Ambedkar Hospital in Kandivli where she was pronounced dead.Police said she had suffered injuries on her chest and face. The tempo driver was taken into custody after Yadav pressed charges of negligence.. .AdvertisementIn a separate incident on the same day, Charkop resident Eliana Thomas (65) was on her way to a church in Malwani when a dumper rammed into her, killing her. Her son told police that Eliana had gone from their Charkop residence to the Sacred Heart Church at Rathodi village by autorickshaw. Later, an acquaintance informed her son that Eliana had suffered injuries. Police said she was walking on one side of the road when the speeding drumper rammed into her. Locals rushed to her aid and stopped the dumper driver. She was taken to Holy Spirit Hospital at Andheri where she succumbed to her injuries.The dumper driver, Mohammad Shafiq Ansari, was arrested on charges of negligence and rash driving under the Indian Penal Code. A magistrate's court sent him to police custody."
Two MTC bus conductors die in road accident near Chennai,"Updated: Mar 10, 2022, 18:31 IST","CHENNAI: Two MTC bus conductors died after being knocked down by a truck in Changalpet on Thursday morning. The deceased have been identified as Nandagopan, 51, of Sathamangalam village near Madurantakam and Jothi Prakash, 45, of Thirukazhukundram. The duo were working as conductors with MTCâ€™s Alandur depot. The accident happened when they were traveling to Chennai for work. Usually, the duo took a bus from Chengalpet to reach Alandur. But on Thursday they travelled on a motorcycle. Nandagopan was riding the two-wheeler while Jothi Prakash was riding pillion on it. When they were near the Ratinakinaru bridge in Chengalpet, a speeding truck knocked their vehicle down from behind killing them on the spot. Truck driver Shakthivel, who fled the spot, was arrested later. The Chengalpet Town police registered a case. "
"44-year-old dies, daughter injured as bike hit by truck on Delhi-Meerut road","Updated: Mar 10, 2022, 10:45 IST","GHAZIABAD: A 44-year-old man was killed and his 19-year-old daughter was seriously injured after the bike on which they were travelling was hit from the behind by a truck on the Delhi-Meerut road in Modinagar. The incident took place on Tuesday night and the duo were returning home after attending a wedding in Muradnagar.The deceased has been identified as Rahimuddin, a resident of Jahangirpur village in Modinagar area of Ghaziabad and his daughter has been identified as Sumaila.The police added that Rahimuddin, who worked as a vegetable seller, is survived by his wife and six children, including two daughters. Sumaila is pursuing her graduation from a Ghaziabad-based college.â€œThe incident took place at around 11.30 pm on Tuesday. The police got the information about the accident from commuters and a team was sent to the spot. Rahimuddin was found dead on the spot, while his daughter was lying on the ground and was bleeding. Our team took both the victims to a nearby hospital for medical attention,â€ a police official said.Anita Chauhan, Station House Officer (SHO) Modinagar, said that Rahimuddin was returning to his house after attending his cousinâ€™s wedding in Muradnagar, when the incident took place. Initial investigation revealed that the truck driver was trying to overtake his bike, but somehow the driver hit the bike from behind.â€œAccording to some eyewitnesses, the deceased was riding the bike at a speed of 50-60 kmph and his daughter was sitting behind him on the bike. A truck hit the bike from behind and the rider lost control of it. Rahimuddin fell on the road while his daughter fell adjacent to the road and hit her head on a rock. The truck driver did not apply brakes and Rahimuddin came under the wheel of the truck. The driver then fled the spot,â€ SHO said. An FIR has been registered against the unknown driver of the vehicle under the sections of 304A (death due to negligence) and 279 (rash driving) of IPC."
Man dies in APSRTC bus and lorry collision,"Updated: Mar 10, 2022, 09:46 IST","VIJAYAWADA: One person died in a road accident after a speeding APSRTC bus collided with a lorry in Krishna district on Wednesday morning. The deceased was identified as Veda Suryanarayana Murthy of Nuzividu. The bus collided with a lorry on NH-65 in Kanchikacharla mandal, killing the bus cleaner on the spot. "
Two brothers killed in Kota road accident," Mar 11, 2022, 03:55 IST","Kota: Two brothers were killed after a speeding truck hit their bike near the Kota Thermal Power Station gate under Kunhari police station on Wednesday night. The deceased were identified as Praveen (23) and Hement (22), residents of Delunda village in Bundi district.Police handed over bodies to the family members after postmortem. They used to work at a furniture shop and were returning home. tnn"
Karthika Deepam: Karthik and Deepa are killed; it's Hima vs Sourya now," Mar 11, 2022, 15:44 IST","As reported earlier, Karthika Deepam will showcase one of the biggest twists in the show ever. Karthik and Deepam will be killed in a road accident as revealed in the latest teaser. Now, how is the show shaping up?"
Youth dies as lorry hits bike," Mar 11, 2022, 03:50 IST","Visakhapatnam: A 25-year-old youngster was killed in a road accident when his bike was hit by a lorry near Bangaramm- apeta village in Salur mandal in Vizianagaram district. The deceased was identified as M Lakshmana (24), a native of T Kothuru village. A case has been registered and the body was shifted to the government hospital for post-mortem. TNN"
Navi Mumbai: Dumper driver killed in road accident in Nerul," Mar 12, 2022, 11:47 IST","NAVI MUMBAI: The driver of a dumper was killed and the cleaner accompanying him sustained injuries after the dumper rammed behind another dumper, that halted suddenly in the middle of the Sion-Panvel highway after climbing down the Nerul LP flyover on Friday around 1.15 am. The deceased driver is Sushil Naga (23), a resident of Ulwe. He was transporting soil from Jogeshwari to Jasai, Uran, when the fatal mishap occurred at Nerul. Acting on a complaint by the injured dumperâ€™s cleaner Gopichand Gautam (30), a resident of Govandi, the accused driver Parmukh Dayaram, who abruptly halted his dumper in the middle of the highway, has been booked for rash and negligent driving causing death.As the accused dumper driver applied sudden brakes, while plying on the highway after climbing down the Nerul flyover, the driver of the dumper behind could not prevent the collision. As the rear dumper's driver cabin got badly mangled, its driver Naga and cleaner Gautam got stuck inside the cabin. Passing motorists informed the police control room after which the Nerul cops arrived along with the Nerul fire brigade rescue team. The dumper's cabin had to be pulled apart using a hydraulic crane to extricate the stuck driver and cleaner. While cleaner Gautam sustained severe injuries, driver Naga was unconscious due to grievous injuries. Cops admitted Gautam to Dr DY Patil hospital in Nerul and took Naga to NMMC hospital in Vashi, where he was declared brought dead."
Karnataka: 5 killed in accident,"Updated: Mar 12, 2022, 09:38 IST","KALABURAGI: Five persons, including four women, were killed in a road accident on Afzalpur-Dudhani Road near Balurgi in Afzalpur taluk early on Friday morning. Their speeding car rammed into a tree to avoid head-on collision with an oncoming car. The identities of the deceased are not yet known, said Afzalpur police. It is said that they were the residents of Ahmadnagar district in Maharashtra. They were returning to their home after visiting the temple of Dattatreya in Ganagapur. The bodies, which were stuck in the mangled car, have been removed. The crowding of the accident spot by passersby created a traffic jam for some of hours.Four die in road crashFour people were killed in a road crash at Navali Rice Technology Park, Kanakagiri taluk here on Friday. The mishap occurred when a tractor with 25 people heading for a wedding engagement overturned after the driver allegedly lost control over it. The deceased were identified as Yamanurappa Sindhanur, 55, Ambamma, 45, Dyavamma, 60 and Sheshappa Bandi, 40 â€” all residents of Indira Nagar in Karatagi. As many as 20 people were hospitalised in Karatagi. Sources in the hospital said that the condition of two of hospitalised persons is critical. It is believed that the tractor was headed to Gangavati, and Kanakagiri police rushed to the spot and sent injured to the hospital."
At least 60 dead in DR Congo train accident: Company," Mar 12, 2022, 23:44 IST","LUBUMBASHI: A train crash in southeastern Democratic Republic of Congo has killed at least 60 people, the state rail company and local sources said on Saturday.""(Currently) the toll is 61 dead, men, women and children (and) 52 injured who have been evacuated,"" Marc Manyonga Ndambo, director of infrastructure at the SNCC train operator, told AFP.Local media quoted the provincial governor Fifi Masuka as saying 60 people had been killed.The train was a freight service which had been carrying ""several hundred stowaways"", said Manyonga said even though this was prohibited.""Some of the bodies were still trapped in the wagons that had fallen into the ravines,"" he added.Manyonga said the train was made up of 15 wagons, 12 of which were empty, and was coming from Luen in a neighbouring province destined for the mining town of Tenke, close to Kolwezi.It derailed at 11:50 pm (2150 GMT) on Thursday at the village of Buyofwe, about 200 kilometres (125 miles) from Kolwezi, ""at a place where there are ravines"", into which seven of the 15 wagons fell, he said.""My team is working hard to clear the track by Monday,"" Manyonga added. He did not say how the crash had happened.Train derailments are common in the DRC, as are shipwrecks of overloaded boats on the country's lakes and rivers.Due to the lack of passenger trains or passable roads, people use goods trains to travel long distances."
Man killed after truck hits his bike," Mar 12, 2022, 03:58 IST","Indore: A 26-year-old man was killed after a motorcycle he was riding on was hit by a speeding truck at Nemawar road area, the police said on Friday.The deceased, Sanjay Bodana, was on his way to Indore when the accident occurred near Dudhia village. Due to the impact, Bodana fell down from his bike and got crushed under the rear wheels of the truck.He was rushed to a nearby hospital by the passers-by where doctors declared him brought dead. Locals alleged that the truck driver was speeding and could not control the vehicle after seeing the biker and ended up hitting him from behind.The truck driver fled from the spot, leaving the vehicle behind.Khudel police said that the body was handed over to the deceasedâ€™s family after post-mortem examination.A case under IPC sections 304 A and 279 has been registered against the dumper truck driver and the vehicle has been seized, an official with Khudel police said."
Rajasthan: 21-year-old man dies after bus hits his bike in Tonk,"Updated: Mar 12, 2022, 10:56 IST","JAIPUR: A 21-year-old man was killed after the bike on which he was returning home hit by a Rajasthan State Roadways Transport Corporation (RSRTC) bus late on Thursday evening at Deoli in Tonk. He was working in a finance company. Police have arrested the driver of the bus for causing death due to negligence.According to the police, Akshay Chauhan was working at finance office situated at the government college in Tonk. He was returning home late in the evening when his bike was hit by a RSTRC. â€œPeople on the road rushed him to the nearby hospital and intimated the police control room,â€ said a senior police officer on Friday.After the accident, a team of senior police officers rushed to the spot.. .Advertisementâ€œSeriously injured Akshay succumbed to the injuries in the hospital,â€ the officer said.Police stated that Akshay was the only son in his family. â€œThe driver of the bus was immediately detained and a case under appropriate sections of IPC has been lodged against him,â€ the officer added."
Andhra Pradesh: Five killed as car hits culvert in Krishna district," Mar 13, 2022, 13:51 IST","VIJAYAWADA: Five of a family, including a six-month-old baby, died after the car in which they were travelling hit a culvert near Jaggaiahpet in Krishna district on Sunday morning. While three of them died on the spot, two others breathed their last while being shifted to a hospital. The only survivor in the car is also said to be in critical condition according to cops.. .AdvertisementThe deceased were identified as Kutumbarao, Indira, Shanti, Mary and the six-month-old Princy. They were all residents of Chanda Nagar in Hyderabad and heading to Jangareddygudem in West Godavari district.According to Jaggaiahpet inspector C Sekhar, the car driver lost control on the vehicle and hit the culvert at high speed. ""We are yet to ascertain the cause of accident he said adding that they are busy in rescue work. A detailed investigation will be done to ascertain the cause,"" he said. Highway patrol teams rushed to the spot and removed the injured from the mangled car. They rushed them to Jaggaiahpet government hospital where two of them declared brought dead. Lone survivor Joshi is said be in critical condition and he is battling for life. A case has been registered and further investigation is still under way."
"BMW climbs on footpath in east Delhi, kills 1; driver held","Updated: Mar 13, 2022, 05:06 IST","NEW DELHI: A 36-year-old man was killed and another injured after being run over by a BMW car in east Delhi's Kalyanpuri on Friday. Police have arrested the 21-year-old driver involved in the accident from Kaushambi.Around 2.46am on Friday, a police patrolling team came across a crowd at Gate 2 of Lal Bahadur Shastri Hospital in Kalyanpuri. â€œWe were informed that two men sleeping on the roadside had been hit by a car. Brought to the hospital, one had been declared dead,â€ said a police officer.Among the papers the cops recovered from the deceasedâ€™s clothes, there was one with a phone number written on it.. .Advertisement""We called that number and one Premchand picked up the phone. We shared details about the accident and he confirmed the victim was his son Rahul who lived in a shelter home in east Delhi,"" the officer said.The injured man, also named Rahul, 37, is a resident of Khichripur and sleeps in the shelter home.At the accident site, police found the number plate of the car that had hit the two men. A team from the Kalyanpuri police station checked the records for the registration details. â€œThe number plate was of a BMW owned by Ashwani Lal, a resident of Ghaziabad,â€ revealed Priyanka Kashyap, DCP (East).Police tracked Lal to Kaushambi in Ghaziabad and arrested him. The accused told the cops that he was driving to Khichripur to drop his woman friend and lost control of his car due to a sudden movement on the road and his car climbed on the footpath where the two men were sleeping.Lal claimed that he was not drunk, but the cops are waiting for a medical report. The accused lives with his brother in Indirapuram and is engaged in a finance business. â€œHis revelations during the questioning are being followed up,"" a police officer said.Claims were made that Lal's friend was driving the car, but the officer responded that no proof was found of the woman being at the steering wheel. ""During questioning, the man told us that he was driving the car. We accessed some CCTV footage that shows the car being driven at high speed,"" the officer added.Police invoked the Indian Penal Codeâ€™s sections 279 (rash driving or riding on a public way), 304A (causing death by negligence) and 337 (causing hurt by act endangering life or personal safety of others) while registering a case at Kalyanpuri police station."
Mumbai: Rs 1.9 crore payout to kin of 6 men killed in car mishap,"Updated: Mar 13, 2022, 05:52 IST","MUMBAI: Five years after six Vile Parle-based friends who were on their way to Goa for a holiday were killed as their car plunged down a slope and crashed into a tree, a Motor Accident Claims Tribunal (MACT) awarded total compensation of around Rs 1.9 crore to their families. However, the compensation will have to be paid jointly by the car owner, Sunanda Kadam, aunt of one of the victims, and Reliance Gen Insurance Co Ltd, the company that insured her vehicle. The victims were gratuitous passengers of the car, making the owner and insurance company liable to pay. â€œThe defence of insurance company reveals that on the date of accident vehicle was duly insured with Insurer. Hence, being owner opposite party no 1 (Kadam) and being insurer Reliance General Insurance Co. Ltd. are jointly and severally liable to pay the compensation,â€ MACT said. . .AdvertisementOne of the victims, Akshay Kerkar (25), had borrowed his auntâ€™s car for the holiday. In six separate orders, the tribunal awarded compensation amounts ranging from Rs 22 lakh to Rs 44 lakh, taking into account each victimâ€™s age, education, monthly earnings and loss of future earning capacity. The tribunal awarded a compensation of around Rs 44 lakh to Akshayâ€™s parents. His parents told the tribunal that at the time of death, Kerkar was working for a Bollywood make-up artist and had a monthly salary of Rs 20,000. The other victims were Sachin Sawant (32), Vaibhav Manve (32), Mayur Belanekar (27), Kedar Todkar (23) and Nihal Kotian (21). While Todkar was a make-up artist, Kotian worked with Metro One Operation Pvt Ltd. The others worked for private companies. The families of the victims moved the tribunal against the car owner and insurance company in April 2017. They told the tribunal that on February 8, 2017, at 7.30 am, when the car reached Ratnagiri, the driver, Prashant Gurav, lost control and collided with a tree and the vehicle turned turtle. All occupants suffered injuries. They were declared dead when brought to hospital. They alleged Gurav drove the car in a rash and negligent manner. The sole survivor, Abhishek Kamble, deposed and recounted the incident. Pinning the blame on the driver, the tribunal said, â€œIt is also pertinent to note that accident occurred in February month at 7.30 am. That means there was clear light available on the spot. There is no reference in police paper about any other vehicle (that) compelled (the) driver of Xylo car to take his vehicle on right side of the road.â€"
3 dead after truck rams into car in Korba," Mar 13, 2022, 04:05 IST","Raipur: Three persons were killed in a road accident in Korba district early on Saturday when they were headed to attend Manpat festival in Surguja district. The trio was going to Ambikapur from Raipur when a truck coming from opposite direction rammed into their car, killing two of them on the spot. One person died during the treatment. The accident occurred in Bango police station area.The incident took place around 4.30am near national highway at Lamana, 60 kilometers from Korba. The police officials reached the spot as soon as they received information, after which the injured was immediately rushed to the hospital. The police have initiated an investigation by registering the case in the matter. Truck driver is currently absconding. tnn"
Three die as tipper lorry rams bike," Mar 13, 2022, 04:03 IST","Visakhapatnam: Three persons who were also friends were killed in a road accident when a tipper lorry hit their motorbike late on Friday night. The deceased were identified as D Muralikrishna (32) of Kothavalasa, Manga Raju (32) of Boddam and Palla Rajendra (30).According to cops, Muralikrishna was a contractor.He had gone to see his daughter at Palasa and returned to Kothavalasa on Thursday. On Friday night, he along with Manga Raju and Rajendra, went to Pendurthi on a motorbike. While they reached Desapatrunipalem Junction on Pendurthi-Araku Road, a tipper lorry coming from the opposite direction hit their bike. The trio died on the spot due to severe head injuries. Police said it was difficult for them to identify the particulars of the deceased persons for almost two hours as the place was shrouded in darkness. CI S Bala Suryarao said one of the deceased Palla Rajendra was working as a security guard at Central Park in Vizag. Later, cops sent the bodies for post-mortem. A case has been registered. . .Advertisement"
"Man, 32, killed in bike accident"," Mar 14, 2022, 04:09 IST","Coimbatore: A 32-year-old Pollachi resident died on the spot after he fell from his speeding bike on Vellalapalayam-Gollapatti Road on Saturday. The deceased, D Rajesh of Rasakkapalayam, was a labourer. â€œHe had gone to Kundadam in Tirupur to sell a goat and was returning home on his bike. He was drunk and lost control over the vehicle, which fell into a pit. He sustained serious head injuries and died on the spot,â€ a cop said. tnn"
Five Indian students killed in road mishap in Canada,"Updated: Mar 14, 2022, 09:24 IST","OTTAWA: Five Indian students were killed in a road accident in Canada, said India's High Commissioner Ajay Bisaria on Monday, adding that two others were injured and were hospitalized.The accident occurred on Saturday on the Ontario highway and two injured students were rushed to the hospital.Taking to Twitter, Ajay Bisaria expressed deepest condolences to the families of the victims.. .Advertisement""Heart-breaking tragedy in Canada: 5 Indian students passed away in an auto accident near Toronto on Saturday. Two others in the hospital. Deepest condolences to the families of the victims. @IndiainToronto team in touch with friends of the victims for assistance,"" India's High Commissioner to Canada said.According to Quinte West Ontario Provincial Police (OPP) the deceased students were identified as Harpreet Singh, Jaspinder Singh, Karanpal Singh, Mohit Chouhan, and Pawan Kumar.They were traveling west in a passenger van on Highway 401 Saturday morning when they collided with a tractor-trailer at around 3:45 am.The investigation into the crash remains ongoing, and no charges have been laid."
"2 dead, 5 injured in 4 accidents"," Mar 14, 2022, 03:51 IST","Kolkata: Two persons were killed, and five injured in four separate accidents in the city between Saturday late evening and Sunday morning. Utpal Guha Neogi (65), died after being hit by a truck on Sunday at 6.25am at Raja Dinendra Street-RG Kar Road crossing . He was declared dead at RG Kar Hospital. Sandip Das (35), was going on his bike around 8.25pm when a concrete mixer vehicle hit it from behind on Bypass near Kasba Connector. He was declared dead at Ruby Hospital. Two minors (17 and 14) were riding a bike around 12.25am on Sunday when they smashed into a parked bus near Prantik Pally in Kasba. Both are serious . Two bikes collided near KPT Colony gate number 5 on Taratala Road around 8.30pm on Saturday injuring three. "
Madhya Pradesh: 3 killed as car collides with tree,"Updated: Mar 14, 2022, 09:50 IST","BHOPAL: Three people, including two women were killed after the car they were travelling in collided with a tree in Anuppur district on Sunday morning. The accident was so fierce that the car broke down in two pieces. The incident took place on Amarkantak main road near Karondi square around 9 am.Deceased have been identified as Varsha Shrivastav, 19, Subodh Shrivastav, 24, and Manisha Singh, 24, all residents of Anuppur district. Besides the deceased, two others Divyanshu Shrivastav, 22, and Saurabh Sharma, 22, have sustained injuries and are admitted at district hospital. Sources said that the car was registered in the name of Kalyani Sharma a resident of Anuppur who is sister of injured Saurabh Sharma. It was Saurabh who was driving the car as all the five were going to Amarkantak."
"BMW climbs on footpath in Delhi, kills 1; driver held"," Mar 14, 2022, 08:13 IST","NEW DELHI: A 36-year-old man was killed and another injured after being run over by a BMW car in east Delhi's Kalyanpuri on Friday. Police have arrested the 21-year-old driver involved in the accident from Kaushambi.Around 2:46am on Friday, a police patrolling team came across a crowd a t Gate 2 of Lal Bahadur Shastri Hospital in Kalyanpuri. â€œWe were informed that two men sleeping on the roadside had been hit by a car. Brought to the hospital, one had been declared dead,â€ said a police officer. Among the papers the cops recovered from the deceasedâ€™s clothes, there was one with a phone number written on it.""We called that number and one Premchand picked up the phone. We shared details about the accident and he confirmed the victim was his son Rahul who lived in a shelter home in east Delhi,"" the officer said.. .AdvertisementThe injured man, also named Rahul, 37, is a resident of Khichripur and sleep s in the shelter home. At the accident site, police found the number plate of the car that had hit the two men. A team from the Kalyanpuri police station checked the records fo r the registration details. â€œThe number plate was of a BMW owned by Ashwani Lal, a resident of Ghaziabad,â€ revealed Priyanka Kashyap, DCP (East).Police tracked Lal to Kaushambi in Ghaziabad and arrested him. The accused told the cops that he was driving to Khichripur to drop his woman friend and lost control of his car due to a sudden movement o n the road and his car climbed on the footpath where the two men were sleeping.Lal claimed that he was not drunk, but the cops are waiting for a medical report. The accused liv es with his brother in Indirapuram and is engaged in a finance business. â€œHis revelations during the questioning are being followed up,"" a police officer said. Claims were made that Lal's friend was driving the car, but the officer responded that no proof was found of the woman being at the steering wheel. ""During questioning, the man told us that he was driving the car. We accessed some CCTV footage that shows the car being driven at high speed,"" the officer added.Police invoked the Indian Penal Codeâ€™s sections 279 (rash driving or riding on a public way), 304A (causing death by negligence) and 337 (causing hurt by act endangering life or personal safety of others) while registering a case at Kalyanpuri police station."
Pillion rider dies in Vizag as lorry hits bike,"Updated: Mar 14, 2022, 10:21 IST","VISAKHAPATNAM: A 45-year-old woman was killed in a road accident when the bike she was riding pillion was hit by a lorry near Marikavalasa in Vizag city. The deceased was identified as S Mangamma of Vizianagaram town. Police said Mangamma along with his husband came to Vizag city to attend a wedding. While they were returning to their hometown, a lorry hit the bike and the woman was killed on the spot. A case has been registered. "
"1 dead, 5 hurt as tractor falls into valley"," Mar 14, 2022, 04:12 IST","Kolhapur: A man was killed and five people were seriously injured after a tractor, with a trolley attached, fell into a valley along Sadale-Jyotiba road.The passengers had gone to seek darshan at the Jyotiba temple on Sunday. Prasad Sankpal, the district disaster management officer of Kolhapur, said, â€œAll devotees were returning from the temple to their native place in Walva tehsil of Sangli district when the accident took place. A 55-year-old man, identified as Ashok Shankar Gawade, died in the accident, while five people were seriously injured and 12 people suffered minor injuries. All the injured people were taken to Kolhapurâ€™s CPR Hospital for treatment.â€ . .AdvertisementAccording to the officials, all those travelling in the trolley were daily wage workers."
Five Indian students killed in a road accident in Canada," Mar 15, 2022, 08:04 IST","TORONTO: Five Indian students were killed in a road accident in Canadaâ€™s Ontario province on Saturday, the second major tragedy involving Indians in the country since January. According to media reports, the students, travelling in the passenger van collided with a tractor trailer at around 3. 45am (local time) on Highway 401 in the Quinte West city in southern Ontario. Harpreet Singh, 24, Jaspinder Singh, 21, Karanpal Singh, 21, Mohit Chouhan, 23 and Pawan Kumar, 23 were pronounced dead at the scene, the provincial police said, adding, that they were all students in the Greater Toronto and Montreal areas.High commissioner of India to Canada, Ajay Bisaria, termed the incident a â€œheartbreaking tragedyâ€ and said the Indian mission is in touch with friends of the victims for assistance. Mourning the deaths, external affairs minister S Jaishankar on Monday tweeted, â€œCondolences to their families. Pray for the recovery of those injured. @IndiainToronto will provide all necessary support and assistance. â€ Two other passengers were taken to a hospital with serious injuries, police said, adding that an investi- gation into the accident was underway. The driver of the tractor-trailer was not hurt, CTV News reported.The number of Indian students attending Canadian universities rose from 76,075 in 2016 to 1,72,625 in 2018, an increase of 127%, according to a report published last year quoting the Canadian Bureau for International Education.The road accident is the second tragic incident involving Indian nationals in Canada in three months. In January, four Indians, including an infant, were found dead near the Canada-US border in Manitoba."
Maharashtra: Rs 65 lakh payout to family of man killed in road accident,"Updated: Mar 15, 2022, 09:11 IST","THANE: A death claim was settled for Rs 65 lakh at the national Lok Adalat on Saturday, sources at the District Legal Services Authority (DLSA) informed. According to the legal fraternity, this was one of the highest settlements awarded in a single claim at this year's Adalat. Advocate SL Mane appearing for the claimants informed said that the deceased Subhajit Dey, then 27 was working as technical support executive with a private firm. On May 21, 2021, he was riding a bike on the Murbad-Kalyan road when another motorcycle coming from the opposite direction collided with him head-on. As a result of the accident an offence was registered with the local police station, said the counsel for the claimants. The claimants include the wife, aged parents, brother and a child. "
